,WEBSITE_INDEX,POI_NAME,ENGLISH_NAME,URL
119,4,圣母圣诞堂  ,Church of the Nativity of the Blessed Virgin Mary,https://place.qyer.com/poi/V2UJYlFiBzJTYlI4Cm0/
120,4,粤海清庙  ,Wak Hai Cheng Bio Temple,https://place.qyer.com/poi/V2EJa1FiBzdTZg/
121,4,FlowerDome  ,None,https://place.qyer.com/poi/V2YJZVFuBzZTYFI_/
122,4,圣淘沙大自然探索中心  ,Sentosa Nature Discovery,https://place.qyer.com/poi/V2UJYVFiBzFTYVI3/
123,4,上海玩具博物馆  ,Museum of Shanghai Toys,https://place.qyer.com/poi/V2AJZ1FjBzVTbQ/
124,4,莱佛士滨海俱乐部  ,Raffles Marina,https://place.qyer.com/poi/V2EJZlFuBz9TYQ/
125,4,新加坡中华总商会  ,Singapore Chinese Chamber of Commerce,https://place.qyer.com/poi/V2UJZVFiBzFTbFI3/
126,4,新加坡知新馆  ,S'pore Discovery Centre,https://place.qyer.com/poi/V2UJY1FlBzZTbVI2/
127,4,OrchardRoad  ,None,https://place.qyer.com/poi/V2UJYVFnBzFTYlI8CmQ/
128,4,登布西山  ,Dempsey Hill,https://place.qyer.com/poi/V2YJY1FlBzJTbFI-/
129,4,卡佩芝台和翡翠山  ,Cuppage Terrace & Emerald Hill,https://place.qyer.com/poi/V2EJZlFuBzFTZw/
130,4,麦里芝水库/麦里芝蓄水池  ,None,https://place.qyer.com/poi/V2UJYVFnBzFTYFI3CmU/
131,4,海豚园  ,None,https://place.qyer.com/poi/V2EJa1FnBz5TZ1I3/
132,4,花柏山景  ,None,https://place.qyer.com/poi/V2UJYVFnBzFTYVI-CmQ/
133,4,新加坡国立大学柏林墙  ,Berlin Wall In NUS,https://place.qyer.com/poi/V2UJZ1FjBzZTYFI-Cms/
134,4,新加坡科技与设计大学  ,Singapore University of Technology andDesign,https://place.qyer.com/poi/V2UJZ1FiBzBTYVI8CmQ/
135,4,新加坡艺术学院  ,School Of The Arts,https://place.qyer.com/poi/V2UJZ1FiBzBTYFI3Cmw/
136,4,新加坡圣若瑟堂  ,Saint Joseph's Church,https://place.qyer.com/poi/V2YJY1FkBz5TZFI_/
137,4,莲山双林寺  ,Lian Shan Shuang Lin Monastery,https://place.qyer.com/poi/V2AJZ1FgBzRTZA/
138,4,圣詹姆斯发电厂  ,St. James Power Station,https://place.qyer.com/poi/V2MJYFFvBzdTbQ/
139,4,科尼岛公园  ,Coney Island Park,https://place.qyer.com/poi/V2UJYlFiBzZTYVI3Cms/
140,4,新加坡西海岸公园  ,West Coast Park,https://place.qyer.com/poi/V2EJalFiBz5TYg/
141,4,亚历山大拱桥  ,Alexandra Arch,https://place.qyer.com/poi/V2UJYVFmBzFTbVI-/
142,4,达豪施纪念碑  ,Dalhousie Obelisk,https://place.qyer.com/poi/V2UJY1FkBz5TZlI4/
143,4,拉萨尔设计学院  ,LASALLE College of the Arts,https://place.qyer.com/poi/V2UJZVFlBz9TZVI2/
144,4,新加坡军事博物馆  ,Army Museum of Singapore,https://place.qyer.com/poi/V2UJY1FkBz9TZVI-/
145,4,新加坡基督教青年会  ,YMCA Singapore,https://place.qyer.com/poi/V2UJY1FkBz9TZ1I6/
146,4,鸦片山岗战役纪念馆  ,Reflections at Bukit Chandu,https://place.qyer.com/poi/V2EJYFFmBzVTZw/
147,4,峇峇住宅  ,Baba House,https://place.qyer.com/poi/V2UJY1FkBz5TY1I5/
148,4,良木园大酒店  ,Goodwood Park Hotel (Tower Block),https://place.qyer.com/poi/V2UJYlFiBzJTZFI_CmU/
149,4,新加坡国家档案馆  ,NATIONAL  ARCHIVES OF SINGAPORE,https://place.qyer.com/poi/V2YJY1FhBzNTZFI4/
150,4,新加坡新生水展览馆  ,NEWater Visitor Centre,https://place.qyer.com/poi/V2UJZ1FiBz9TYlI6Cm0/
151,4,新加坡圣约翰岛  ,San John's Island,https://place.qyer.com/poi/V2YJY1FkBzBTY1I_/
152,4,Onsight攀岩  ,Onsight Climbing,https://place.qyer.com/poi/V2UJZ1FjBzVTZ1I7Cmo/
153,4,哈里德回教堂清真寺  ,Masjid Khalid,https://place.qyer.com/poi/V2UJZ1FiBz9TYlI6Cm8/
154,4,凯文思大道  ,Cavenagh Road,https://place.qyer.com/poi/V2EJZFFvBz9TZVI2/
155,4,新加坡国家体育场  ,Singapore National Stadium,https://place.qyer.com/poi/V2UJYVFmBzFTbVI8Cmw/
156,4,新加坡爱来魔相艺术馆  ,Alive Museum Singapore,https://place.qyer.com/poi/V2UJYlFiBzFTbVI3Cmw/
157,4,陈氏宗祠  ,Tan Si Chong Su,https://place.qyer.com/poi/V2UJYlFiBzVTYFI6Cm4/
158,4,新加坡圣伯多禄圣保禄堂  ,Church of Saints Peter and Paul,https://place.qyer.com/poi/V2YJY1FkBz5TZFI9/
159,4,露德圣母堂  ,Church of Our Lady of Lourdes,https://place.qyer.com/poi/V2YJY1FkBz5TZFI-/
160,4,皇后坊大厦  ,Empress Place Building,https://place.qyer.com/poi/V2UJY1FkBz5TZVI2/
161,4,直落亚逸礼拜堂  ,Telok Ayer Chinese Methodist Church,https://place.qyer.com/poi/V2UJYVFnBz9TbVI-/
162,4,阿尔阿布拉回教堂  ,Al Abrar Mosque,https://place.qyer.com/poi/V2UJYVFnBz9TbVI9/
163,4,哈查花蒂玛回教堂  ,Hajjah Fatimah Mosque,https://place.qyer.com/poi/V2EJYVFvBzBTbA/
164,4,善牧主教座堂  ,Cathedral of the Good Shepherd,https://place.qyer.com/poi/V2YJY1FnBzBTZVI9/
165,4,亚米尼亚教堂  ,Armenian Apostolic Church of Saint Gregory the Illuminator,https://place.qyer.com/poi/V2UJYlFiBzVTZ1I7Cmo/
166,4,中正总校竹林楼与牌坊  , Chung Cheng High School (Main) Administration Building and Entrance Arch,https://place.qyer.com/poi/V2UJYlFiBzVTZlI5Cmk/
167,4,Orto  ,None,https://place.qyer.com/poi/V2YJZVFuBzZTZlI8/
168,4,WaterfrontPromenade  ,None,https://place.qyer.com/poi/V2YJZVFuBzZTYFI9/
169,4,TheIntan  ,None,https://place.qyer.com/poi/V2YJZVFuBzZTYlI5/
170,4,老饕湾美食中心  ,Makansutra,https://place.qyer.com/poi/V2YJYVFuBzNTY1I5/
171,4,三巴旺公园  ,Sembawang Park,https://place.qyer.com/poi/V2UJY1FjBzFTZlI-/
172,4,华裔馆  ,Chinese Heritage Centre,https://place.qyer.com/poi/V2UJY1FkBz5TYFI_/
173,4,白沙公园  ,Pasir Ris Park,https://place.qyer.com/poi/V2UJYlFvBzFTbFI6/
174,4,缅甸玉佛寺  ,Sasana Ramsi Burmese Buddhist Temple,https://place.qyer.com/poi/V2cJZFFnBzNTZA/
175,4,胡姬山庄  ,Orchidville,https://place.qyer.com/poi/V2cJZFFkBzVTbA/
176,4,武吉巴督市镇公园  ,Bukit Batok Town Park,https://place.qyer.com/poi/V2EJalFiBz5TYQ/
177,4,新加坡空军博物馆  ,Air Force Museum of Singapore,https://place.qyer.com/poi/V2UJY1FkBz9TZVI8/
178,4,新加坡钱币博物馆  ,Singapor Coins and Notes Museum,https://place.qyer.com/poi/V2UJYVFgBzJTZFI4/
179,4,洛阳大伯公宫  ,Loyang Tua Pek Kong Temple,https://place.qyer.com/poi/V2AJZ1FjBzdTYA/
180,4,樟宜礼拜堂与博物馆  ,Changi Museum & Chapel,https://place.qyer.com/poi/V2EJZlFvBzNTbA/
