,Unnamed: 0,POI,link,num_reviews
348,348,玛莎百货（莱佛士城购物中心店）,https://you.ctrip.com/shopping/singapore53/1379836.html,6
349,349,变形金刚能量库,https://you.ctrip.com/shopping/singapore53/1594890.html,5
350,350,裕华国货,https://you.ctrip.com/shopping/singapore53/1677241.html,2
351,351,Pedro（义安城）,https://you.ctrip.com/shopping/singapore53/1452406.html,4
352,352,博柏利（滨海湾金沙店）,https://you.ctrip.com/shopping/singapore53/1452720.html,4
353,353,Pedro（ION Orchard购物中心）,https://you.ctrip.com/shopping/singapore53/1452340.html,4
354,354,MCM（樟宜机场店）,https://you.ctrip.com/shopping/singapore53/1413407.html,6
355,355,爱马仕（樟宜机场T2）,https://you.ctrip.com/shopping/singapore53/1413399.html,6
356,356,佐丹奴（樟宜机场T1）,https://you.ctrip.com/shopping/singapore53/1413431.html,6
361,361,中峇鲁市场,https://you.ctrip.com/shopping/singapore53/1488307.html,6
362,362,新加坡新罗免税店（T1离境大厅D登机门）,https://you.ctrip.com/shopping/singapore53/1450943.html,5
363,363,珑骧（樟宜机场三号候机大厅过境A区）,https://you.ctrip.com/shopping/singapore53/1446516.html,6
364,364,7-11（樟宜机场T1）,https://you.ctrip.com/shopping/singapore53/1413596.html,7
365,365,Toko Aljunied服装店,https://you.ctrip.com/shopping/singapore53/1356005.html,7
366,366,新加坡新罗免税店（T3入境大厅B登机门）,https://you.ctrip.com/shopping/singapore53/1450953.html,6
367,367,新加坡新罗免税店（T3入境大厅A登机门）,https://you.ctrip.com/shopping/singapore53/1450956.html,6
368,368,Paul & Shark（樟宜机场T2）,https://you.ctrip.com/shopping/singapore53/1413414.html,4
369,369,Bottega Veneta（樟宜机场T3）,https://you.ctrip.com/shopping/singapore53/1413385.html,4
370,370,Furla（樟宜机场店）,https://you.ctrip.com/shopping/singapore53/1413506.html,4
371,371,Cocoa & Co（樟宜机场T2离境转机大厅中央）,https://you.ctrip.com/shopping/singapore53/1413601.html,4
372,372,普拉达（樟宜机场T3）,https://you.ctrip.com/shopping/singapore53/1413416.html,4
373,373,Gassan Watches（樟宜机场T3）,https://you.ctrip.com/shopping/singapore53/1413582.html,4
